Variable,GCM,Scenario,YearRange,Station,Raw_Pbias,BiasCorrected_Pbias,Raw_RMSE,BiasCorrected_RMSE,Raw_R2,BiasCorrected_R2,Raw_KGE,BiasCorrected_KGE,Raw_NSE,BiasCorrected_NSE,Raw_NRMSE,BiasCorrected_NRMSE
pr,CanESM5,ssp245,2015-2100,DVP,-72,-84.7,11.8076260347575,12.2079713964941,0.00745756304154296,0.00328896919174963,-0.329843007461442,-0.581522472584042,-0.329793399930232,-0.421497169789934,0.168430132870557,0.174140867803465
pr,CanESM5,ssp245,2015-2100,AXA,-75.6,-76.4,12.8815476933303,12.784904435011,0.00122332342152967,0.000437074356715216,-0.389898874352187,-0.433842744602206,-0.355804451495757,-0.335537036139826,0.158980422251256,0.157787678461371
pr,CanESM5,ssp245,2015-2100,BNW,-80.5,-63.8,12.3096396973699,12.1979928186939,0.00035129983944841,7.61777431188041e-13,-0.50733091567762,-0.337474625100319,-0.349315193896194,-0.324949955015484,0.137289372280006,0.136044174998259
pr,CanESM5,ssp245,2015-2100,EST,0.6,-16,8.56863627067587,8.20036719785709,1.97647513133424e-05,7.94858550121003e-06,-0.0834335413389462,-0.129386896159366,-0.358052280392829,-0.243826120612779,0.0862782313739843,0.0825701028843576
pr,CanESM5,ssp370,2015-2100,OXV,-81.2,-65.4,11.2191948604394,11.1442648947712,0.00336147339069934,0.000577506115870472,-0.510700561378697,-0.280413493471833,-0.458665326315838,-0.439246328935463,0.165430930732835,0.164326062325212
pr,CanESM5,ssp370,2015-2100,I75,-83.2,-70.8,11.985603125828,11.4237746979919,0.00265666312604283,0.00195746201298772,-0.516783609731275,-0.351496251869168,-0.568320156305616,-0.424735339151338,0.192601689311073,0.183573432395821
pr,CanESM5,ssp370,2015-2100,CAV,-58.3,-69.6,11.8548698220452,11.3812968418531,0.00136810188929096,0.00191048604001661,-0.267499862126219,-0.301604121443543,-0.519875825903872,-0.400870629006406,0.148639222403897,0.142701449945498
pr,CanESM5,ssp370,2015-2100,OTM,-41.1,28.2,7.54191740594333,8.73990417331909,0.000256176924949664,1.06097413364272e-05,-0.251511889484847,-0.0615749282746587,-0.185784745291624,-0.592412789198266,0.0670261584929465,0.0776728477392785
pr,CanESM5,ssp370,2015-2100,IKV,-80.9,-71.1,11.1892193466642,11.0402550576687,0.00140029537937948,0.000278886435828102,-0.513942310110002,-0.369569510710527,-0.420006986712961,-0.382449003072119,0.145386286045896,0.143450729680475
pr,CanESM5,ssp370,2015-2100,OOA,-74.6,-56.1,8.90870544738031,8.63872185595488,0.000626398092973084,0.000560859899051067,-0.39591690076598,-0.227177085400045,-0.501184596621084,-0.411574752507896,0.184598123650649,0.179003768254349
pr,CanESM5,ssp370,2015-2100,PEA,-81.6,-76.8,16.0481505402579,15.9974635785069,0.00237546915521962,0.00027499196850498,-0.562909041085483,-0.492295003576493,-0.194562356384506,-0.187028389546445,0.070201883378206,0.0699801556365132
pr,CanESM5,ssp370,2015-2100,MWM,-52.6,-76.1,10.4788561044977,10.41144162479,6.89789257354777e-05,0.00253006288330644,-0.251997667958661,-0.491899095078209,-0.263751968359329,-0.247543875791819,0.119235083797935,0.118467999007669
pr,CanESM5,ssp370,2015-2100,OTG,14.9,2.6,8.17147781247689,7.85120633455915,0.00026705641365213,0.000880821919364582,-0.0655860968536455,-0.0743242451952979,-0.364021550116626,-0.25919445393117,0.0726211568624526,0.0697748558909293
pr,CanESM5,ssp370,2015-2100,DSM,-46.9,1.7,8.07866730609251,8.71056043494625,0.00025412265450152,0.000138801978743754,-0.298399034339055,-0.0685712830990963,-0.151465422792456,-0.338639545955057,0.0885954785393867,0.0955251950403159
pr,CanESM5,ssp370,2015-2100,SLB,-47.8,-69.1,10.8444065777055,9.97838985782634,0.0019907649215332,0.000114964358360613,-0.200737184448097,-0.380805344082666,-0.574622102919222,-0.333170501518173,0.116651677829112,0.107336064044429
pr,CanESM5,ssp370,2015-2100,CNC,-81.1,-65.2,12.3838911733452,11.963993508996,0.00248599717090802,0.0053377576715323,-0.508447611436627,-0.268901747321981,-0.41359173040974,-0.319356252549157,0.124059738067211,0.119853273917533
